date,team1,team2,format,series,banned_by,map
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,ALU,Summit
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,ELV,Combine
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,ALU,Tunisia
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,ELV,Firing Range
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,ALU,Raid
2026-03-15,ALU,ELV,TOURNAMENT_BO5,1,ELV,Crossroads Strike
2026-03-15,ELV,ALU,TOURNAMENT_BO7,2,ALU,Arsenal
2026-03-15,ELV,ALU,TOURNAMENT_BO7,2,ELV,Combine
2026-03-15,ELV,ALU,TOURNAMENT_BO7,2,ALU,Meltdown
2026-03-15,ELV,ALU,TOURNAMENT_BO7,2,ELV,Coastal
2026-03-15,ELV,ALU,TOURNAMENT_BO7,3,ALU,Takeoff
2026-03-15,ELV,ALU,TOURNAMENT_BO7,3,ELV,Combine
2026-03-15,ELV,ALU,TOURNAMENT_BO7,3,ALU,Meltdown
2026-03-15,ELV,ALU,TOURNAMENT_BO7,3,ELV,Firing Range
